Titulo,Precio,Popularidad,Duracion,Tema
Learn Beethoven's Fur Elise on Piano,20,0.1,0.4833333333,Musical Instruments
Guitar: Learn 12 Must Know Beginner Rock Guitar Riffs,50,0.28,2.0,Musical Instruments
Play Piano 1 Master Class Intro:  Standards 2-5 Power Chords,50,0.89,1.0,Musical Instruments
Discover Classical Guitar Level 1,25,0.88,1.5,Musical Instruments
"Learn To Play The Piano Using Pop, R&B and Gospel Chords",50,0.71,0.6833333333,Musical Instruments
Learn Guitar: Zero to Guitar Fingerpicking in 30 days,50,0.78,2.5,Musical Instruments
Learn Fun Dreamy Piano Techniques #1 -  Play White Christmas,80,0.43,2.0,Musical Instruments
Playing Piano:  Popular Pieces Vol. II,150,0.3,1.5,Musical Instruments
The Professional Bass Masterclass,200,0.68,7.0,Musical Instruments
"Piano: Learn 48 chords in 1 hour,  and always remember how",120,0.48,1.5,Musical Instruments
Fun Beginner Ukulele Course,55,0.69,1.5,Musical Instruments
101 Blues riffs - learn how the harmonica superstars do it,200,0.55,6.5,Musical Instruments
Step by Step Tabla Course- Indian Drums,20,0.4,1.0,Musical Instruments
Teaching Music : Start teaching an instrument successfully.,30,0.55,1.5,Musical Instruments
CAGED Pentatonic System for Guitar - Level 1,45,0.96,1.5,Musical Instruments
Ninja Chord Changes - Master your guitar chord changes,30,0.96,1.5,Musical Instruments
5 Exotic Guitar Scales and How to Use Them Effectively,50,0.15,1.0,Musical Instruments
Accelerate Your Guitar Learning With Metal Techniques,20,0.32,6.5,Musical Instruments
Blues Guitar Lessons - From Texas To Carolina,20,0.99,2.5,Musical Instruments
Learn Fun Dreamy Piano Techniques # 2 - Play Silver Bells,80,0.96,2.0,Musical Instruments
Acoustic Blues Guitar Lessons,125,0.78,12.5,Musical Instruments
The 80/20 Beginner Guitar Course,50,0.88,3.0,Musical Instruments
Piano for Complete Beginners: Learn your first song today!,40,0.75,1.0,Musical Instruments
Play Piano 8 - Play Over the Rainbow by Ear & Free Improvise,50,0.34,1.5,Musical Instruments
Piano Improvisation from Day One,20,0.19,3.0,Musical Instruments
Blues and Advanced Guitar Lessons,85,0.01,7.5,Musical Instruments
Easy to play Christmas Songs for Guitar,100,0.15,0.5,Musical Instruments
Learn Piano #10 Tritone Chord Substitution with Jazzy Sounds,60,0.57,0.6333333333,Musical Instruments
16 Guitar Chords to Jam With - (Beginner - Intermediate),20,0.34,1.0,Musical Instruments
CAGED Pentatonic System for Guitar - Level 3,45,0.72,1.5,Musical Instruments
CAGED Pentatonic System for Guitar - Level 2,45,0.34,1.5,Musical Instruments
Learn to Play Saxophone: Beginner to Pro in Under Four Hours,50,0.55,5.0,Musical Instruments
"Play Piano 2:  Play 'Love Me Tender By Ear with 2-5 Chords""",50,0.78,1.5,Musical Instruments
Guitar: Master The Guitar Fretboard In 6 Easy Steps,55,0.76,1.0,Musical Instruments
How to play Contemporary Piano,25,0.26,0.6,Musical Instruments
World's Fastest Piano Method - The Piano Revolution!,95,0.33,2.0,Musical Instruments
Beginner's Guitar Lessons - Crash Course for Busy Adults,50,0.53,2.0,Musical Instruments
Country Guitar Fundamentals,50,0.68,1.5,Musical Instruments
Learn Jazz Piano Today,50,0.25,3.0,Musical Instruments
Modern Country Guitar: Technique Booster,30,0.35,2.5,Musical Instruments
Learn To Play The Drums,25,0.3,8.5,Musical Instruments
Learn Piano #8:  Use Augmented Chord Sub & Whole Tone Scales,60,0.34,1.0,Musical Instruments
Darbuka Drumming: Learn how to play the Darbuka Dounbek,0,0.2,1.0,Musical Instruments
Play By Ear #4: Play Song By Ear with 3 Chords Using Any Key,95,0.96,2.5,Musical Instruments
Christmas Piano Songs For The Very Beginner Vol. I,40,0.2,1.5,Musical Instruments
Guitar Chord Riot! Learn to Play Guitar Like a Guitar Jedi,75,0.07,0.5,Musical Instruments
Modal Theory for Guitar (Guitar Lessons from Lutz Academy),50,0.07,1.5,Musical Instruments
Classical Guitar Essentials - The Basics Part 2,95,0.47,4.5,Musical Instruments
31 Day Guitar Challenge,40,0.09,3.5,Musical Instruments
Guitar for Beginners - Learn the Basics,20,0.78,0.5166666667,Musical Instruments
Your Second Course on Piano: Two Handed Playing,70,0.84,5.0,Musical Instruments
Play Piano 4: Improvise on popular song Yesterday chords,50,0.14,1.5,Musical Instruments
The Circle of Fifths for Guitarists,50,0.14,1.5,Musical Instruments
Learn Monster GODJ,0,0.44,1.0,Musical Instruments
Learn Piano #7- Learn Chromatic Chords & Chromatic Scale Run,60,0.83,2.0,Musical Instruments
Bluegrass Guitar Essentials: Webisodes 1 & 2,0,0.96,1.0,Musical Instruments
Learn all Piano Chords in all Piano Scales with logic,45,0.29,1.0,Musical Instruments
Learn to Play the Trumpet: Beginner to Pro Made the Easy Way,50,0.96,7.5,Musical Instruments
Fingerpicking Classics - Great songs played fingerstyle!,20,0.15,2.0,Musical Instruments
#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,75,1.0,0.6166666667,Musical Instruments
Guitar Lessons for complete beginners - super simple and fun,20,0.44,0.6666666667,Musical Instruments
Discover Classical Guitar Level 2,75,0.24,11.5,Musical Instruments
Your First 10 Guitar Lessons - Learn how to play guitar,0,0.72,1.0,Musical Instruments
Ultimate Blues Guitar Beginner Lessons,20,0.17,10.5,Musical Instruments
Instant Bodhran - part one; learn the basics of drumming now,30,0.06,1.0,Musical Instruments
Beginner Step by Step Keharwa Theka Tabla Course,20,0.4,0.6666666667,Musical Instruments
Pentatonic Scale Crash Course for Bass Guitar,0,0.4,1.0,Musical Instruments
Ukelele exprés: aprende a tocar en menos de un mes,0,0.4,1.5,Musical Instruments
Percussive Fingerstyle Guitar,50,0.57,1.5,Musical Instruments
Learn to Play Clarinet: Beginner to Pro in Under Five Hours,50,0.85,6.0,Musical Instruments
Play all major scales by ear - no notation required!,40,0.55,3.5,Musical Instruments
Classical Guitar Essentials - The Basics Part 1,65,0.11,4.5,Musical Instruments
#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,75,0.39,1.0,Musical Instruments
Instant Harmonica - how to get single notes in 5 easy steps,20,0.37,0.6333333333,Musical Instruments
Piano Runs & Fills #4: C6 Rolling Waves & Waterfall Runs,70,0.63,1.0,Musical Instruments
Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords,50,0.07,1.5,Musical Instruments
Instant Harmonica - Christmas. Play Jingle Bells Part 1 now,20,0.07,0.7,Musical Instruments
Piano From Zero To Pro - Beginner Essentials To The Piano,70,0.07,3.5,Musical Instruments
Play Piano 3: Improvise Chords to Enchanted Evening by Ear,50,0.07,1.5,Musical Instruments
Beginner Piano,20,0.07,4.0,Musical Instruments
Piano Runs & Fills #1: Play Dreamy Whole Tone Scale Runs,70,0.07,1.0,Musical Instruments
Piano Runs & Fills #3:  Jazzy Chromatic Chord Song Endings,70,0.07,1.0,Musical Instruments
Cracking the Violin Code!,120,0.07,5.5,Musical Instruments
Play Guitar and Understand Music Quick & Easy in 28 Days!,20,0.07,9.5,Musical Instruments
Modern Piano Lessons For Beginners,20,0.07,5.0,Musical Instruments
Rock Drumset Grooves: Level 1,20,0.07,2.0,Musical Instruments
Learn to Play the Flute: Beginner to Pro in Under Five Hours,50,0.07,7.0,Musical Instruments
Play Piano 6 -Improvise on The Way We Were with Power Chords,50,0.07,1.5,Musical Instruments
Gospel Piano Essentials,30,0.07,11.5,Musical Instruments
How to Play Piano - Your First Lesson!,0,0.07,0.5166666667,Musical Instruments
Beginner Guitar Lessons by Paul Gronow,50,0.07,3.5,Musical Instruments
Introduction to Ukulele 1,20,0.07,1.0,Musical Instruments
Instant Harmonica - play two Star Wars themes in 30 minutes,20,0.07,0.7,Musical Instruments
Learn the Violin - No Music Experience Necessary!,120,0.07,3.0,Musical Instruments
"Learn to Play Fernando Sor's 'Study in B minor"",https://www.udemy.com/study-in-b-minor/,true,115,1403,5,9,Intermediate Level,43 mins,2014-01-27T20:58:16Z
398746,Piano: The Chord Based System - Learn To Play As The Pros Do""",115,0.07,2.0,Musical Instruments
"Super Beginner Guitar - start right, start awesome",30,0.07,2.0,Musical Instruments
Bossa Nova - Guitar for Beginners,20,0.07,1.0,Musical Instruments
Take your double bass drum technique to the next level,40,0.07,5.5,Musical Instruments
Play Sonny Terry style on Harmonica and dazzle your friends!,200,0.07,5.5,Musical Instruments
Harmonica Jamz: The Only Course on Jammin' with Friends,60,0.07,5.0,Musical Instruments
Piano For Singer/Songwriters 2: Pop/Rock Rhythm Immersion,100,0.07,1.5,Musical Instruments
Play Violin and Fiddle for beginners - it's fun  - Course 1,20,0.07,1.0,Musical Instruments
"Learn to Play Tarrega, Bach, and Sor on Classical Guitar",195,0.07,4.0,Musical Instruments
How to speak Pianish (beginner level),30,0.07,1.0,Musical Instruments
Instant Harmonica - play Scarborough Fair in 8 easy lectures,40,0.07,1.0,Musical Instruments
Music Fundamentals: Learn Beatmaking with Pen Tapping,200,0.07,2.0,Musical Instruments
Strumming from scratch - Rhythm guitar lesson for Beginners,0,0.07,2.0,Musical Instruments
Mike G's Beginner Drum Course: Part 1,35,0.07,3.0,Musical Instruments
The Ultimate Method for Learning Modern Piano & Keyboards,25,0.07,2.5,Musical Instruments
Learn 4 Vital things that will make your DRUM PLAYING EASIER,35,0.07,0.6166666667,Musical Instruments
Learn to Play the Oboe: Beginner to Pro in Under Four Hours,50,0.07,5.0,Musical Instruments
Instant Harmonica - play Amazing Grace with grace and ease!,40,0.07,1.0,Musical Instruments
Piano Building Blocks: Learn the 24 Most Common Chords,50,0.07,1.5,Musical Instruments
Electric Guitar for Beginners - RockStarter Level 1,40,0.07,2.5,Musical Instruments
"Introduction to Guitar 'A Course for Beginners"",https://www.udemy.com/introduction-to-guitar/,true,25,163,11,56,Beginner Level,2.5 hours,2014-10-30T15:59:39Z
650804,Guitar  Master Class Learning How to Play Guitar from A to Z""",40,0.07,4.0,Musical Instruments
#12 Hand Coordination: Let your Hands dance with Ballad 9,75,0.07,1.5,Musical Instruments
Guitarra Desde Cero - PARTE 1,35,0.07,7.0,Musical Instruments
How To Play Guitar - For Absolute Beginners,35,0.07,1.0,Musical Instruments
"Rapidly Learn & Master Acoustic Guitar, Classic Fingerstyle",30,0.07,0.7,Musical Instruments
Play Piano To-day! - Beginner Piano Lessons For Busy People!,100,0.07,4.0,Musical Instruments
Rockabilly Guitar For Beginners,40,0.07,2.0,Musical Instruments
6 Must Know Tricks to Successful Solos,35,0.07,4.0,Musical Instruments
ブルースギター入門,0,0.07,3.5,Musical Instruments
Learn to Play French Horn: Beginner to Pro Made the Easy Way,50,0.07,8.0,Musical Instruments
Instant Harmonica – play Beethoven’s Ode to Joy right now!,20,0.07,1.0,Musical Instruments
Make Your Own Ukulele,85,0.07,4.5,Musical Instruments
Introduction to Gypsy Jazz Guitar,95,0.07,2.5,Musical Instruments
CAGED System for Guitar (Guitar Lessons from Lutz Academy),50,0.07,1.5,Musical Instruments
Play Piano 7: Improvise on For All We Know in F Key by Ear,50,0.07,1.5,Musical Instruments
Play Autumn Leaves' falling notes on piano with no reading!,30,0.07,0.5666666667,Musical Instruments
Instant Harmonica - play Somewhere Over the Rainbow now!,40,0.07,1.0,Musical Instruments
Learn to Play Percussion: Beginner to Pro made the Easy Way!,50,0.07,6.0,Musical Instruments
Instant Harmonica - play the great Irish tune Molly Malone!,20,0.07,1.0,Musical Instruments
"Learn Piano with Beyer, 15 Minutes Challenge",65,0.07,3.0,Musical Instruments
How To Play The Djembe: For Beginners,30,0.07,1.0,Musical Instruments
Learn to Play Harp: Beginners Course,0,0.52,0.6833333333,Musical Instruments
101 Awesome Rockabilly Guitar Licks,40,0.66,2.5,Musical Instruments
Inside Drum Technique,50,0.15,2.0,Musical Instruments
Learn to Play Trombone: Go From Beginner to Pro in No Time!,50,0.66,7.5,Musical Instruments
Instant Harmonica - play the groovy Valens La Bamba now!,20,0.39,0.7333333333,Musical Instruments
"How to play Djembe, Drums & Rhythm. Level 2",40,0.18,2.0,Musical Instruments
Beginners Guide to Playing Guitar - Step-by-step System,85,0.18,10.5,Musical Instruments
Guitar:Play 5 Easy Christmas Chord Progressions On Guitar,50,0.18,1.0,Musical Instruments
Chugging - it don't mean a thing if it ain't got that swing!,200,0.18,2.5,Musical Instruments
Learn basics of South Indian Carnatic Flute Step by Step,150,0.18,4.0,Musical Instruments
"Easy Piano Basics™ - Learn Piano, No Prior Experience Needed",20,0.18,1.5,Musical Instruments
Master the Saxophone: Intermediate Instruction Made Simple!,50,0.18,5.5,Musical Instruments
Piano Building Blocks: Learn Chord Additions & Variations,0,0.18,1.0,Musical Instruments
Learn How to Play the Violin - Violin Basics,20,0.18,0.5333333333,Musical Instruments
"Play The Piano By Ear | Master Class, Learn By Doing",175,0.18,2.5,Musical Instruments
Painless Piano!,40,0.18,3.5,Musical Instruments
"Discover the fun of Spoon playing, a beginners course",65,0.18,1.0,Musical Instruments
Learn to play in the Key of G on any Bluegrass Instrument,0,0.18,2.5,Musical Instruments
Playing Piano By Ear: Complete Guide for Aspiring Musicians,150,0.18,4.5,Musical Instruments
Instant Harmonica - play Amazing Grace + Ode to Joy now!,40,0.18,1.5,Musical Instruments
Aprende batería con el nuevo método IDT,20,0.18,2.0,Musical Instruments
Piano Lessons for Beginners Made Easy,25,0.18,3.0,Musical Instruments
Los 7 Acordes para Tocarlo Todo en un fin de semana,20,0.02,2.0,Musical Instruments
Blues School! A Course For Beginners in Blues Piano & Improv,120,0.02,3.0,Musical Instruments
Have Fun with Beginner Blues Piano,75,0.02,2.5,Musical Instruments
Learn to Play Euphonium: Beginner to Pro in Under Five Hours,50,0.02,7.0,Musical Instruments
Mike G's Beginner Drum Course: Part 2,40,0.02,2.5,Musical Instruments
Slide Guitar- Slide Soloing Essentials,50,0.02,3.0,Musical Instruments
Blues Guitar Lessons - Blues Guitar - Robert Johnson,20,0.02,2.5,Musical Instruments
Instant Harmonica - play the groovy Beatles Yesterday today!,40,0.02,1.0,Musical Instruments
Beginner Guitar Lessons - Your Complete Foundation Course,60,0.02,18.5,Musical Instruments
Master Trumpet Playing: Intermediate Instruction Made Simple,50,0.02,7.0,Musical Instruments
Learn the Violin - Scales and Fundamentals,80,0.02,3.0,Musical Instruments
Master Flute Playing: Intermediate Instruction Made Simple!,50,0.02,6.0,Musical Instruments
Curso de Violão Popular,25,0.02,6.0,Musical Instruments
Instant harmonica - play Adele's wonderful 'Hello' today!,20,0.02,1.0,Musical Instruments
Piano Lessons For The Hip Hop Fan,20,0.02,5.5,Musical Instruments
Guitar Technique Mastery: The Ultimate Chop Building Workout,20,0.02,1.5,Musical Instruments
Getting Started with the Guitar in 5 Days,0,0.02,1.5,Musical Instruments
Back 2 The Basics,50,0.02,3.0,Musical Instruments
Guitar Essentials,20,0.02,1.5,Musical Instruments
Circular Breathing for musicians - practical skills,25,0.02,1.5,Musical Instruments
Guitar Fretboard Mastery for the Blues Guitarist,20,0.02,1.0,Musical Instruments
Spielend Klavier lernen mit Freude und Erfolg,100,0.02,4.0,Musical Instruments
150 Rock Guitar Licks You MUST Know,45,0.02,4.5,Musical Instruments
Beginner Guitar - 38 Easy Lessons You Needs to Get Started,40,0.02,3.0,Musical Instruments
Learn Flute FAST!,45,0.02,4.0,Musical Instruments
Bones of the Blues - learn 4 cool tunes to expert level now!,200,0.02,2.0,Musical Instruments
Curso de piano 101 - Tocando partituras y acordes -,170,0.02,4.5,Musical Instruments
Introduction to Lead Guitar,20,0.02,1.5,Musical Instruments
A Year's Worth of Piano Lessons in One Weekend,20,0.02,6.0,Musical Instruments
Guitar Lessons - Learning The Neck - Fretboard Mastery,45,0.02,6.0,Musical Instruments
Electric Bass Right From The Start,100,0.02,0.6666666667,Musical Instruments
Piano The Hard Way -  Fast Way To Life Long Piano Enjoyment,25,0.02,1.0,Musical Instruments
Fingerpicking Blues Guitar Lessons - Bottleneck Guitar,20,0.02,1.5,Musical Instruments
Instant Harmonica - play Christmas + Birthday songs now!,40,0.02,1.5,Musical Instruments
Master the Clarinet: Intermediate Instruction Made Simple!,50,0.02,7.0,Musical Instruments
Master the Trombone: Intermediate Instruction Made Simple!,50,0.02,9.0,Musical Instruments
Super-Curso de Guitarra Práctico Para Principiantes,85,0.02,10.5,Musical Instruments
Piano Lessons for the R&B Fan,20,0.02,8.0,Musical Instruments
Learn to Play the Tuba: Beginner to Pro in Under Five Hours!,50,0.02,6.0,Musical Instruments
Learn Travis Picking From Scratch,40,0.02,1.5,Musical Instruments
Advanced Saxophone Studies - Learn to Master the Saxophone!,50,0.02,4.0,Musical Instruments
The 7 Day Guitar Method,20,0.02,2.5,Musical Instruments
Aprendiendo piano: Lectura de piezas clásicas Vol.I,50,0.02,1.5,Musical Instruments
Didgeridoo - from zero to HERO! Part Three. Advanced level.,35,0.02,1.5,Musical Instruments
Advanced Flute Studies - Learn to Master the Flute!​,50,0.02,5.0,Musical Instruments
Learn to Play Bassoon: Beginner to Pro in Under Four Hours!,50,0.02,5.0,Musical Instruments
Classical Guitar Finger-Picking: Right Hand Arpeggios,195,0.02,2.0,Musical Instruments
Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials,45,0.39,2.5,Musical Instruments
Guitar Lessons - Soloing With Arpeggios - Essential Guide,45,0.11,5.0,Musical Instruments
Advanced Bassoon Studies - Learn to Master the Bassoon!​,50,0.8,6.5,Musical Instruments
Play the Jews Harp - instant skills for non musicians.,25,0.96,2.5,Musical Instruments
Walking Bass - Quick Start Guide,50,0.76,1.0,Musical Instruments
How to play in a local Irish music session with confidence,40,0.07,1.0,Musical Instruments
Old-Time Banjo for the Absolute Beginner,25,0.3,1.5,Musical Instruments
Acoustic Blues Guitar Lessons,75,0.04,4.5,Musical Instruments
Curso de ejercicios técnicos al piano Vol.1,60,0.11,1.5,Musical Instruments
Piano Lessons For Beginners: Learn Piano Quickly And Easily,75,0.54,3.0,Musical Instruments
Guitar Fretboard Secrets,55,0.54,2.0,Musical Instruments
"Play Leyenda, Canarios, and Bach on Classical Guitar",195,0.76,7.5,Musical Instruments
Advanced Trumpet Studies - Learn to Master the Trumpet!​,50,0.2,4.0,Musical Instruments
Master the Tuba - Intermediate Instruction Made Simple!,50,0.23,8.5,Musical Instruments
How to Design Your Own Guitar,50,0.8,5.0,Musical Instruments
Acoustic Guitar After The Basics,45,0.69,2.5,Musical Instruments
Bass Guitar Lessons For Beginners,95,0.55,2.5,Musical Instruments
Blues Guitar Lessons - Volume 2 - Slow Blues Essentials,45,0.49,2.0,Musical Instruments
Master the Bassoon - Intermediate Instruction Made Simple!,50,0.11,7.5,Musical Instruments
Advanced Tuba Studies - Become a Master of the Tuba!​,50,0.89,5.0,Musical Instruments
Comment jouer du Pianoforte,100,0.2,3.0,Musical Instruments
Piano With Willie: Blues n' Boogie Vol. 1,40,0.75,2.5,Musical Instruments
"Improvise Puccini´s 'E Lucevan le Stelle on Piano""",20,0.49,2.0,Musical Instruments
Tuba Solos: Learn how to Perform Three Fun and Unique Pieces,50,0.88,2.0,Musical Instruments
Bending the blue notes to give you killer sound on harmonica,35,0.8,2.0,Musical Instruments
"Aprende a tocar el Acordeón 'de oído y con técnica"",https://www.udemy.com/aprende-a-tocar-el-acordeon-de-oido-y-con-tecnica/,true,25,93,21,34,Beginner Level,4 hours,2014-09-16T19:51:45Z
263432,Aprende los Secretos de la Armónica con HARP&SOUL""",75,0.39,2.5,Musical Instruments
"Flute Solos: Learn how to Perform Three Fun, Unique Pieces",50,0.26,3.0,Musical Instruments
